id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
1111234567124	20090731	1	81234567100	101234567100	138875005	0	116680003	900000000000010007	900000000000451002
1121234567124	20020131	1	81234567100	111234567100	138875005	0	116680003	900000000000010007	900000000000451002
1131234567124	20170930	1	81234567100	121234567100	138875005	0	116680003	900000000000010007	900000000000451002
1141234567124	20030131	1	81234567100	131234567100	138875005	0	116680003	900000000000010007	900000000000451002
1151234567124	20171031	1	81234567100	141234567100	138875005	0	116680003	900000000000010007	900000000000451002
1161234567124	20090731	1	81234567100	151234567100	138875005	0	116680003	900000000000010007	900000000000451002
1171234567125	20170930	1	81234567100	161234567100	138875005	0	116680003	900000000000010007	900000000000451002
1181234567126	20090731	1	81234567100	171234567100	138875005	0	116680003	900000000000010007	900000000000451002
1191234567127	20170930	1	81234567100	181234567100	138875005	0	116680003	900000000000010007	900000000000451002
1201234567128	20090731	1	81234567100	191234567100	138875005	0	116680003	900000000000010007	900000000000451002
1211234567129	20170930	1	81234567100	201234567100	138875005	0	116680003	900000000000010007	900000000000451002
1221234567124	20171031	1	81234567100	211234567100	138875005	0	116680003	900000000000010007	900000000000451002
1231234567124	20090731	1	81234567100	221234567100	138875005	0	116680003	900000000000010007	900000000000451002
1241234567124	20170930	1	81234567100	231234567100	138875005	0	116680003	900000000000010007	900000000000451002
1251234567124	20090731	1	81234567100	241234567100	138875005	0	116680003	900000000000010007	900000000000451002
1261234567124	20090731	1	81234567100	251234567100	138875005	0	116680003	900000000000010007	900000000000451002
1271234567124	20090731	0	900000000000207008	151234567100	138875005	0	116680003	900000000000010007	900000000000451002
1281234567124	20020131	0	81234567100	171234567100	138875005	0	116680003	900000000000010007	900000000000451002
1291234567124	20170930	0	81234567100	221234567100	138875005	0	116680003	900000000000010007	900000000000451002
1301234567124	20030131	0	81234567100	131234567100	138875005	0	116680003	900000000000010007	900000000000451002
1311234567124	20090731	1	900000000000207008	151234567100	138875005	0	116680003	900000000000010007	900000000000451002
1321234567124	20020131	1	900000000000012004	171234567100	138875005	0	116680003	900000000000010007	900000000000451002
1331234567124	20170930	1	900000000000207008	221234567100	138875005	0	116680003	900000000000010007	900000000000451002
1341234567124	20030131	1	900000000000012004	131234567100	138875005	0	116680003	900000000000010007	900000000000451002
1351234567124	20171031	1	81234567100	151234567100	251234567100	0	116680003	900000000000010007	900000000000451002
1361234567125	20090731	1	81234567100	171234567100	251234567100	0	116680003	900000000000010007	900000000000451002
1371234567126	20170930	1	81234567100	221234567100	138875005	0	241234567100	900000000000010007	900000000000451002
