id	effectiveTime	active	moduleId	definitionStatusId
101234567100	20090731	0	900000000000207008	900000000000074008
111234567100	20020131	1	900000000000207008	900000000000074008
121234567100	20170930	0	900000000000012004	900000000000073002
131234567100	20030131	1	900000000000012004	900000000000074008
141234567100	20171031	0	81234567100	900000000000074008
151234567100	20090731	1	81234567100	900000000000074008
161234567100	20170930	0	81234567100	900000000000073002
171234567100	20090731	1	81234567100	900000000000074008
181234567100	20170930	0	900000000000445007	900000000000073002
191234567100	20090731	1	900000000000445007	900000000000074008
201234567100	20170930	0	900000000000012004	900000000000073002
211234567100	20171031	0	900000000000012004	900000000000074008
221234567100	20090731	1	81234567100	900000000000074008
231234567100	20170930	0	81234567100	900000000000073002
241234567100	20090731	1	81234567100	900000000000074008
251234567100	20090731	1	81234567100	900000000000074008
138875005	20090731	1	900000000000207008	900000000000074008
116680003	20090731	1	81234567100	900000000000074008
